A,B,D,synteny,Expressed
TraesCS3A01G256400,TraesCS3B01G289600,TraesCS3D01G256700,syntenic,TRUE
TraesCS2A01G362100,TraesCS2B01G379900,TraesCS2D01G359500,syntenic,TRUE
TraesCS4A01G082300,TraesCS4B01G221700,TraesCS4D01G222100,syntenic,TRUE
TraesCS5A01G407400,TraesCS5B01G412300,TraesCS5D01G417300,syntenic,TRUE
TraesCS3A01G278500,TraesCS3B01G312700,TraesCS3D01G278800,syntenic,TRUE
TraesCS2A01G281400,TraesCS2B01G298700,TraesCS2D01G280200,syntenic,TRUE
TraesCS3A01G271600,TraesCS3B01G305300,TraesCS3D01G271200,syntenic,TRUE
TraesCS7A01G212300,TraesCS7B01G119200,TraesCS7D01G214000,syntenic,TRUE
TraesCS2A01G339400,TraesCS2B01G342600,TraesCS2D01G323700,syntenic,TRUE
TraesCS6A01G069400,TraesCS6B01G093700,TraesCS6D01G067400,syntenic,TRUE
TraesCS5A01G049200,TraesCS5B01G054300,TraesCS5D01G059800,syntenic,TRUE
TraesCS1A01G011200,TraesCS1B01G037900,TraesCS1D01G010000,non-syntenic,TRUE
TraesCS3A01G298900,TraesCS3B01G337600,TraesCS3D01G302800,syntenic,TRUE
TraesCS2A01G345300,TraesCS2B01G363700,TraesCS2D01G344000,syntenic,TRUE
TraesCS5A01G392500,TraesCS5B01G397300,TraesCS5D01G402300,syntenic,TRUE
TraesCS6A01G377900,TraesCS6B01G415600,TraesCS6D01G362400,syntenic,TRUE
TraesCS3A01G398500,TraesCS3B01G430900,TraesCS3D01G392600,syntenic,TRUE
TraesCS2A01G299800,TraesCS2B01G316300,TraesCS2D01G297900,syntenic,TRUE
TraesCS6A01G252800,TraesCS6B01G272900,TraesCS6D01G234300,syntenic,TRUE
TraesCS2A01G171500,TraesCS2B01G197900,TraesCS2D01G179100,syntenic,TRUE
TraesCS3A01G290800,TraesCS3B01G325400,TraesCS3D01G290600,syntenic,TRUE
TraesCS2A01G096000,TraesCS2B01G111400,TraesCS2D01G094400,syntenic,TRUE
TraesCS7A01G250000,TraesCS7B01G141200,TraesCS7D01G248600,syntenic,TRUE
TraesCS4A01G255900,TraesCS4B01G058900,TraesCS4D01G058800,syntenic,TRUE
TraesCS5A01G122900,TraesCS5B01G122700,TraesCS5D01G131000,syntenic,TRUE
TraesCS2A01G406600,TraesCS2B01G424200,TraesCS2D01G403500,syntenic,TRUE
TraesCS5A01G463600,TraesCS5B01G475100,TraesCS5D01G476300,syntenic,TRUE
TraesCS3A01G513100,TraesCS3B01G581800,TraesCS3D01G522400,syntenic,TRUE
TraesCS4A01G089400,TraesCS4B01G215000,TraesCS4D01G215500,syntenic,TRUE
TraesCS3A01G054800,TraesCS3B01G066100,TraesCS3D01G054100,syntenic,TRUE
TraesCS6A01G230500,TraesCS6B01G251400,TraesCS6D01G204500,syntenic,TRUE
TraesCS1A01G158500,TraesCS1B01G174500,TraesCS1D01G155800,syntenic,TRUE
TraesCS5A01G501000,TraesCS4B01G329400,TraesCS4D01G326500,syntenic,TRUE
TraesCS7A01G122200,TraesCS7B01G021200,TraesCS7D01G120700,syntenic,TRUE
TraesCS7A01G252300,TraesCS7B01G138600,TraesCS7D01G250400,syntenic,TRUE
TraesCS1A01G281300,TraesCS1B01G290500,TraesCS1D01G280600,syntenic,TRUE
TraesCS3A01G273300,TraesCS3B01G307000,TraesCS3D01G272700,syntenic,TRUE
TraesCS2A01G450400,TraesCS2B01G472000,TraesCS2D01G450000,syntenic,TRUE
TraesCS3A01G214700,TraesCS3B01G246600,TraesCS3D01G218300,syntenic,TRUE
TraesCS4A01G124700,TraesCS4B01G179700,TraesCS4D01G181300,syntenic,TRUE
TraesCS1A01G315600,TraesCS1B01G327500,TraesCS1D01G315800,syntenic,TRUE
TraesCS2A01G229300,TraesCS2B01G250700,TraesCS2D01G233100,syntenic,TRUE
TraesCS2A01G220100,TraesCS2B01G245600,TraesCS2D01G225800,syntenic,TRUE
TraesCS1A01G163900,TraesCS1B01G180700,TraesCS1D01G160800,syntenic,TRUE
TraesCS5A01G473400,TraesCS5B01G486300,TraesCS5D01G486100,syntenic,TRUE
TraesCS5A01G230400,TraesCS5B01G228900,TraesCS5D01G237400,syntenic,TRUE
TraesCS2A01G473900,TraesCS2B01G497400,TraesCS2D01G473600,syntenic,TRUE
TraesCS7A01G324600,TraesCS7B01G225100,TraesCS7D01G320300,syntenic,TRUE
TraesCS7A01G149200,TraesCS7B01G052900,TraesCS7D01G150800,syntenic,TRUE
TraesCS7A01G321900,TraesCS7B01G222800,TraesCS7D01G318800,syntenic,TRUE
TraesCS6A01G093100,TraesCS6B01G121900,TraesCS6D01G089300,syntenic,TRUE
TraesCS4A01G064300,TraesCS4B01G241700,TraesCS4D01G241300,syntenic,TRUE
TraesCS7A01G292200,TraesCS7B01G183900,TraesCS7D01G288800,syntenic,TRUE
TraesCS1A01G054300,TraesCS1B01G071400,TraesCS1D01G055100,syntenic,TRUE
TraesCS5A01G221100,TraesCS5B01G219900,TraesCS5D01G228800,syntenic,TRUE
TraesCS3A01G213900,TraesCS3B01G244100,TraesCS3D01G216200,non-syntenic,TRUE
TraesCS2A01G246200,TraesCS2B01G270500,TraesCS2D01G248600,syntenic,TRUE
TraesCS6A01G297400,TraesCS6B01G327100,TraesCS6D01G277300,syntenic,TRUE
TraesCS3A01G247300,TraesCS3B01G272000,TraesCS3D01G244100,syntenic,TRUE
TraesCS5A01G408500,TraesCS5B01G413200,TraesCS5D01G418300,syntenic,TRUE
TraesCS2A01G177700,TraesCS2B01G204800,TraesCS2D01G185900,syntenic,TRUE
TraesCS6A01G045100,TraesCS6B01G060700,TraesCS6D01G051600,syntenic,TRUE
TraesCS7A01G292100,TraesCS7B01G197300,TraesCS7D01G290700,non-syntenic,TRUE
TraesCS1A01G055200,TraesCS1B01G072000,TraesCS1D01G055900,syntenic,TRUE
TraesCS4A01G010700,TraesCS4B01G293700,TraesCS4D01G292400,syntenic,TRUE
TraesCS4A01G284000,TraesCS4B01G029700,TraesCS4D01G026700,syntenic,TRUE
TraesCS3A01G100000,TraesCS3B01G116700,TraesCS3D01G100600,syntenic,TRUE
TraesCS5A01G095900,TraesCS5B01G101800,TraesCS5D01G108500,syntenic,TRUE
TraesCS3A01G417600,TraesCS3B01G452800,TraesCS3D01G413200,syntenic,TRUE
TraesCS3A01G184800,TraesCS3B01G214600,TraesCS3D01G188800,syntenic,TRUE
TraesCS5A01G095100,TraesCS5B01G101300,TraesCS5D01G107800,syntenic,TRUE
TraesCS2A01G479500,TraesCS2B01G504000,TraesCS2D01G478700,syntenic,TRUE
TraesCS2A01G321000,TraesCS2B01G361700,TraesCS2D01G341700,syntenic,TRUE
TraesCS1A01G233600,TraesCS1B01G250300,TraesCS1D01G238700,syntenic,TRUE
TraesCS2A01G518400,TraesCS2B01G546800,TraesCS2D01G519800,syntenic,TRUE
TraesCS2A01G555100,TraesCS2B01G588900,TraesCS2D01G559400,syntenic,TRUE
TraesCS3A01G204000,TraesCS3B01G234300,TraesCS3D01G205000,non-syntenic,TRUE
TraesCS4A01G234800,TraesCS4B01G080200,TraesCS4D01G079100,syntenic,TRUE
TraesCS3A01G334700,TraesCS3B01G365600,TraesCS3D01G328000,syntenic,TRUE
TraesCS3A01G391800,TraesCS3B01G423800,TraesCS3D01G384700,syntenic,TRUE
TraesCS2A01G151600,TraesCS2B01G176700,TraesCS2D01G156700,syntenic,TRUE
TraesCS1A01G361500,TraesCS1B01G378100,TraesCS1D01G366200,syntenic,TRUE
TraesCS4A01G009200,TraesCS4B01G295700,TraesCS4D01G294300,syntenic,TRUE
TraesCS3A01G209300,TraesCS3B01G239900,TraesCS3D01G212200,syntenic,TRUE
TraesCS3A01G023800,TraesCS3B01G021000,TraesCS3D01G022400,syntenic,TRUE
TraesCS4A01G146300,TraesCS4B01G156000,TraesCS4D01G163900,non-syntenic,TRUE
TraesCS3A01G272100,TraesCS3B01G305800,TraesCS3D01G271700,syntenic,TRUE
TraesCS2A01G283300,TraesCS2B01G300400,TraesCS2D01G282000,syntenic,TRUE
TraesCS4A01G143700,TraesCS4B01G152400,TraesCS4D01G162600,non-syntenic,TRUE
TraesCS5A01G054500,TraesCS5B01G061900,TraesCS5D01G065800,syntenic,TRUE
TraesCS2A01G145900,TraesCS2B01G171300,TraesCS2D01G150500,syntenic,TRUE
TraesCS2A01G172400,TraesCS2B01G198600,TraesCS2D01G179500,syntenic,TRUE
TraesCS5A01G176300,TraesCS5B01G173600,TraesCS5D01G180600,syntenic,TRUE
TraesCS3A01G369400,TraesCS3B01G401300,TraesCS3D01G362400,syntenic,TRUE
TraesCS4A01G161900,TraesCS4B01G162600,TraesCS4D01G166900,non-syntenic,TRUE
TraesCS5A01G466800,TraesCS5B01G478600,TraesCS5D01G479700,syntenic,TRUE
TraesCS4A01G127400,TraesCS4B01G177300,TraesCS4D01G179000,syntenic,TRUE
TraesCS1A01G340000,TraesCS1B01G352300,TraesCS1D01G342000,syntenic,TRUE
TraesCS6A01G160100,TraesCS6B01G191300,TraesCS6D01G152600,syntenic,TRUE
TraesCS1A01G224700,TraesCS1B01G237700,TraesCS1D01G226100,syntenic,TRUE
TraesCS7A01G338800,TraesCS7B01G250100,TraesCS7D01G346000,syntenic,TRUE
TraesCS1A01G099400,TraesCS1B01G124800,TraesCS1D01G107300,syntenic,TRUE
TraesCS3A01G147700,TraesCS3B01G174400,TraesCS3D01G155700,syntenic,TRUE
TraesCS7A01G560200,TraesCS7B01G486500,TraesCS7D01G549100,syntenic,TRUE
TraesCS6A01G258300,TraesCS6B01G267000,TraesCS6D01G239500,syntenic,TRUE
TraesCS3A01G375200,TraesCS3B01G407400,TraesCS3D01G367700,syntenic,TRUE
TraesCS6A01G109000,TraesCS6B01G137600,TraesCS6D01G097400,syntenic,TRUE
TraesCS7A01G192900,TraesCS7B01G098200,TraesCS7D01G194100,syntenic,TRUE
TraesCS6A01G251400,TraesCS6B01G273900,TraesCS6D01G233200,syntenic,TRUE
TraesCS6A01G299300,TraesCS6B01G328900,TraesCS6D01G279200,syntenic,TRUE
TraesCS4A01G268600,TraesCS4B01G045600,TraesCS4D01G046300,syntenic,TRUE
TraesCS1A01G123000,TraesCS1B01G142200,TraesCS1D01G123900,syntenic,TRUE
TraesCS5A01G106300,TraesCS5B01G111300,TraesCS5D01G117200,non-syntenic,TRUE
TraesCS4A01G167000,TraesCS4B01G164800,TraesCS4D01G151500,non-syntenic,TRUE
TraesCS5A01G420600,TraesCS5B01G422700,TraesCS5D01G429200,syntenic,TRUE
TraesCS2A01G249900,TraesCS2B01G271000,TraesCS2D01G251300,syntenic,TRUE
TraesCS7A01G501600,TraesCS7B01G409000,TraesCS7D01G489000,syntenic,TRUE
TraesCS3A01G261300,TraesCS3B01G294400,TraesCS3D01G261400,syntenic,TRUE
TraesCS3A01G268600,TraesCS3B01G303000,TraesCS3D01G268700,syntenic,TRUE
TraesCS6A01G111600,TraesCS6B01G139700,TraesCS6D01G100200,syntenic,TRUE
TraesCS7A01G315600,TraesCS7B01G216600,TraesCS7D01G312600,syntenic,TRUE
TraesCS5A01G324400,TraesCS5B01G325200,TraesCS5D01G331300,syntenic,TRUE
TraesCS6A01G159200,TraesCS6B01G192100,TraesCS6D01G153300,syntenic,TRUE
TraesCS5A01G050300,TraesCS5B01G056300,TraesCS5D01G061100,syntenic,TRUE
TraesCS5A01G159800,TraesCS5B01G157500,TraesCS5D01G164800,syntenic,TRUE
TraesCS1A01G262100,TraesCS1B01G272700,TraesCS1D01G262100,syntenic,TRUE
TraesCS7A01G124000,TraesCS7B01G022900,TraesCS7D01G121900,syntenic,TRUE
TraesCS3A01G437300,TraesCS3B01G471400,TraesCS3D01G429500,syntenic,TRUE
TraesCS5A01G030400,TraesCS5B01G029000,TraesCS5D01G038600,syntenic,TRUE
TraesCS7A01G157000,TraesCS7B01G061200,TraesCS7D01G157500,syntenic,TRUE
TraesCS1A01G163400,TraesCS1B01G179900,TraesCS1D01G160000,syntenic,TRUE
TraesCS5A01G174300,TraesCS5B01G171700,TraesCS5D01G178900,syntenic,TRUE
TraesCS5A01G380600,TraesCS5B01G384200,TraesCS5D01G390400,syntenic,TRUE
TraesCS1A01G233400,TraesCS1B01G250000,TraesCS1D01G238500,syntenic,TRUE
TraesCS7A01G227000,TraesCS7B01G192600,TraesCS7D01G227400,syntenic,TRUE
TraesCS3A01G206600,TraesCS3B01G238600,TraesCS3D01G209100,syntenic,TRUE
TraesCS4A01G100500,TraesCS4B01G204000,TraesCS4D01G204800,syntenic,TRUE
TraesCS1A01G288700,TraesCS1B01G298100,TraesCS1D01G287700,syntenic,TRUE
TraesCS6A01G195000,TraesCS6B01G221800,TraesCS6D01G181400,non-syntenic,TRUE
TraesCS3A01G091000,TraesCS3B01G106200,TraesCS3D01G090900,syntenic,TRUE
TraesCS3A01G152000,TraesCS3B01G179200,TraesCS3D01G159900,syntenic,TRUE
TraesCS1A01G036200,TraesCS1B01G046200,TraesCS1D01G037900,syntenic,TRUE
TraesCS7A01G195000,TraesCS7B01G100700,TraesCS7D01G196600,syntenic,TRUE
TraesCS1A01G073000,TraesCS1B01G092300,TraesCS1D01G075900,non-syntenic,TRUE
TraesCS4A01G158400,TraesCS4B01G162900,TraesCS4D01G153900,non-syntenic,TRUE
TraesCS2A01G436900,TraesCS2B01G456300,TraesCS2D01G433000,syntenic,TRUE
TraesCS6A01G276600,TraesCS6B01G304100,TraesCS6D01G256900,syntenic,TRUE
TraesCS3A01G196600,TraesCS3B01G227700,TraesCS3D01G199600,non-syntenic,TRUE
TraesCS5A01G066300,TraesCS5B01G073000,TraesCS5D01G077300,non-syntenic,TRUE
TraesCS4A01G044300,TraesCS4B01G265400,TraesCS4D01G265400,syntenic,TRUE
TraesCS2A01G516300,TraesCS2B01G545100,TraesCS2D01G518100,syntenic,TRUE
TraesCS6A01G199600,TraesCS6B01G224200,TraesCS6D01G184100,non-syntenic,TRUE
TraesCS3A01G200400,TraesCS3B01G224600,TraesCS3D01G203400,syntenic,TRUE
TraesCS6A01G070500,TraesCS6B01G094500,TraesCS6D01G068300,syntenic,TRUE
TraesCS7A01G156700,TraesCS7B01G060800,TraesCS7D01G157100,syntenic,TRUE
TraesCS6A01G147000,TraesCS6B01G175200,TraesCS6D01G136300,syntenic,TRUE
TraesCS3A01G187200,TraesCS3B01G216600,TraesCS3D01G191000,syntenic,TRUE
TraesCS3A01G302800,TraesCS3B01G333500,TraesCS3D01G299000,syntenic,TRUE
TraesCS1A01G163200,TraesCS1B01G179100,TraesCS1D01G159300,syntenic,TRUE
TraesCS3A01G315500,TraesCS3B01G351400,TraesCS3D01G316000,syntenic,TRUE
TraesCS1A01G122000,TraesCS1B01G141200,TraesCS1D01G122800,syntenic,TRUE
TraesCS4A01G286600,TraesCS4B01G028000,TraesCS4D01G025500,syntenic,TRUE
TraesCS4A01G179700,TraesCS4B01G139800,TraesCS4D01G134500,syntenic,TRUE
TraesCS1A01G167200,TraesCS1B01G183600,TraesCS1D01G173700,syntenic,TRUE
TraesCS2A01G263300,TraesCS2B01G278800,TraesCS2D01G260700,syntenic,TRUE
TraesCS2A01G540200,TraesCS2B01G570600,TraesCS2D01G541900,syntenic,TRUE
TraesCS1A01G147600,TraesCS1B01G165700,TraesCS1D01G145600,syntenic,TRUE
TraesCS2A01G162600,TraesCS2B01G188500,TraesCS2D01G169600,syntenic,TRUE
TraesCS6A01G244600,TraesCS6B01G279700,TraesCS6D01G226800,syntenic,TRUE
TraesCS2A01G307500,TraesCS2B01G324100,TraesCS2D01G305900,syntenic,TRUE
TraesCS2A01G480200,TraesCS2B01G505000,TraesCS2D01G479500,syntenic,TRUE
TraesCS5A01G096600,TraesCS5B01G102500,TraesCS5D01G109300,syntenic,TRUE
TraesCS1A01G161300,TraesCS1B01G177800,TraesCS1D01G158300,syntenic,TRUE
TraesCS3A01G275700,TraesCS3B01G309400,TraesCS3D01G275600,syntenic,TRUE
TraesCS2A01G319100,TraesCS2B01G337400,TraesCS2D01G316900,syntenic,TRUE
TraesCS1A01G228900,TraesCS1B01G245100,TraesCS1D01G233100,syntenic,TRUE
TraesCS4A01G043700,TraesCS4B01G264400,TraesCS4D01G264400,syntenic,TRUE
TraesCS4A01G272700,TraesCS4B01G041400,TraesCS4D01G038700,syntenic,TRUE
TraesCS5A01G437600,TraesCS5B01G440400,TraesCS5D01G444800,syntenic,TRUE
TraesCS5A01G148200,TraesCS5B01G146700,TraesCS5D01G144600,syntenic,TRUE
TraesCS5A01G383700,TraesCS5B01G388300,TraesCS5D01G393100,syntenic,TRUE
TraesCS4A01G122200,TraesCS4B01G182100,TraesCS4D01G183700,syntenic,TRUE
TraesCS3A01G083000,TraesCS3B01G098000,TraesCS3D01G083100,syntenic,TRUE
TraesCS4A01G247100,TraesCS4B01G067800,TraesCS4D01G066800,syntenic,TRUE
TraesCS5A01G274800,TraesCS5B01G274500,TraesCS5D01G282400,syntenic,TRUE
TraesCS3A01G227700,TraesCS3B01G256800,TraesCS3D01G225500,syntenic,TRUE
TraesCS2A01G247800,TraesCS2B01G269400,TraesCS2D01G249600,syntenic,TRUE
TraesCS6A01G159100,TraesCS6B01G192200,TraesCS6D01G153400,syntenic,TRUE
TraesCS2A01G303500,TraesCS2B01G320100,TraesCS2D01G302000,syntenic,TRUE
TraesCS5A01G219900,TraesCS5B01G218800,TraesCS5D01G227900,syntenic,TRUE
TraesCS6A01G265000,TraesCS6B01G292000,TraesCS6D01G249800,syntenic,TRUE
TraesCS5A01G363600,TraesCS5B01G365700,TraesCS5D01G372800,syntenic,TRUE
TraesCS7A01G234600,TraesCS7B01G132800,TraesCS7D01G234600,syntenic,TRUE
TraesCS2A01G523600,TraesCS2B01G553500,TraesCS2D01G525700,syntenic,TRUE
TraesCS2A01G159300,TraesCS2B01G184900,TraesCS2D01G166600,syntenic,TRUE
TraesCS4A01G082400,TraesCS6B01G296000,TraesCS4D01G222000,non-syntenic,TRUE
TraesCS6A01G207500,TraesCS6B01G219500,TraesCS6D01G188900,non-syntenic,TRUE
TraesCS6A01G386700,TraesCS6B01G425800,TraesCS6D01G371300,syntenic,TRUE
TraesCS1A01G211600,TraesCS1B01G225400,TraesCS1D01G214800,syntenic,TRUE
TraesCS7A01G161200,TraesCS7B01G066200,TraesCS7D01G162500,syntenic,TRUE
TraesCS3A01G454900,TraesCS3B01G493700,TraesCS3D01G447600,syntenic,TRUE
TraesCS6A01G188800,TraesCS6B01G215700,TraesCS6D01G177500,syntenic,TRUE
TraesCS2A01G114700,TraesCS2B01G133800,TraesCS2D01G115500,syntenic,TRUE
TraesCS2A01G218300,TraesCS2B01G243700,TraesCS2D01G225100,syntenic,TRUE
TraesCS3A01G272200,TraesCS3B01G306000,TraesCS3D01G271800,syntenic,TRUE
TraesCS5A01G140800,TraesCS5B01G139100,TraesCS5D01G151700,syntenic,TRUE
TraesCS7A01G450600,TraesCS7B01G350400,TraesCS7D01G439900,syntenic,TRUE
TraesCS7A01G260700,TraesCS7B01G158700,TraesCS7D01G261700,syntenic,TRUE
TraesCS4A01G087600,TraesCS4B01G216800,TraesCS4D01G217100,syntenic,TRUE
TraesCS4A01G017300,TraesCS4B01G286700,TraesCS4D01G285400,syntenic,TRUE
TraesCS3A01G099600,TraesCS3B01G116000,TraesCS3D01G099900,syntenic,TRUE
TraesCS3A01G181800,TraesCS3B01G211600,TraesCS3D01G186400,syntenic,TRUE
TraesCS7A01G364100,TraesCS7B01G263800,TraesCS7D01G359100,syntenic,TRUE
TraesCS6A01G162000,TraesCS6B01G189300,TraesCS6D01G150200,syntenic,TRUE
TraesCS2A01G406800,TraesCS2B01G424400,TraesCS2D01G403700,syntenic,TRUE
TraesCS4A01G233500,TraesCS4B01G082200,TraesCS4D01G080700,syntenic,TRUE
TraesCS3A01G212000,TraesCS3B01G242400,TraesCS3D01G214600,syntenic,TRUE
TraesCS1A01G246600,TraesCS1B01G257300,TraesCS1D01G245900,syntenic,TRUE
TraesCS7A01G504900,TraesCS7B01G412200,TraesCS7D01G492200,syntenic,TRUE
TraesCS2A01G234800,TraesCS2B01G253300,TraesCS2D01G236400,non-syntenic,TRUE
TraesCS5A01G086100,TraesCS5B01G092100,TraesCS5D01G099500,syntenic,TRUE
TraesCS2A01G202300,TraesCS2B01G229400,TraesCS2D01G208600,syntenic,TRUE
TraesCS3A01G405500,TraesCS3B01G439200,TraesCS3D01G400700,syntenic,TRUE
TraesCS2A01G165500,TraesCS2B01G191700,TraesCS2D01G172700,syntenic,TRUE
TraesCS6A01G332800,TraesCS6B01G363200,TraesCS6D01G311700,syntenic,TRUE
TraesCS3A01G181500,TraesCS3B01G211500,TraesCS3D01G186300,syntenic,TRUE
TraesCS5A01G093800,TraesCS5B01G099900,TraesCS5D01G106200,syntenic,TRUE
TraesCS2A01G200900,TraesCS2B01G228300,TraesCS2D01G213400,syntenic,TRUE
TraesCS2A01G499600,TraesCS2B01G527700,TraesCS2D01G499700,syntenic,TRUE
TraesCS6A01G100500,TraesCS6B01G128500,TraesCS6D01G082100,syntenic,TRUE
TraesCS2A01G234200,TraesCS2B01G259100,TraesCS2D01G237400,non-syntenic,TRUE
TraesCS7A01G459700,TraesCS7B01G360200,TraesCS7D01G447500,syntenic,TRUE
TraesCS3A01G119100,TraesCS3B01G138100,TraesCS3D01G121000,syntenic,TRUE
TraesCS1A01G198300,TraesCS1B01G213100,TraesCS1D01G201800,syntenic,TRUE
TraesCS1A01G083800,TraesCS1B01G101100,TraesCS1D01G084900,syntenic,TRUE
TraesCS2A01G413700,TraesCS2B01G432500,TraesCS2D01G410900,syntenic,TRUE
TraesCS4A01G133200,TraesCS4B01G171400,TraesCS4D01G173500,syntenic,TRUE
TraesCS2A01G125700,TraesCS2B01G148300,TraesCS2D01G128800,syntenic,TRUE
TraesCS3A01G315100,TraesCS3B01G351800,TraesCS3D01G316400,syntenic,TRUE
TraesCS2A01G338400,TraesCS2B01G343500,TraesCS2D01G324600,syntenic,TRUE
TraesCS7A01G341300,TraesCS7B01G242500,TraesCS7D01G338400,syntenic,TRUE
TraesCS7A01G182500,TraesCS7B01G087400,TraesCS7D01G183900,syntenic,TRUE
TraesCS5A01G384400,TraesCS5B01G389200,TraesCS5D01G394000,syntenic,TRUE
TraesCS3A01G343900,TraesCS3B01G375800,TraesCS3D01G337600,syntenic,TRUE
TraesCS3A01G343700,TraesCS3B01G375700,TraesCS3D01G337500,syntenic,TRUE
TraesCS5A01G218300,TraesCS5B01G217500,TraesCS5D01G226400,syntenic,TRUE
TraesCS3A01G399700,TraesCS3B01G432700,TraesCS3D01G393800,syntenic,TRUE
TraesCS4A01G410600,TraesCS4B01G310700,TraesCS4D01G308600,syntenic,TRUE
TraesCS1A01G182200,TraesCS1B01G198800,TraesCS1D01G185300,syntenic,TRUE
TraesCS1A01G049700,TraesCS1B01G065900,TraesCS1D01G051900,syntenic,TRUE
TraesCS4A01G292400,TraesCS4B01G021700,TraesCS4D01G019400,syntenic,TRUE
TraesCS6A01G095200,TraesCS6B01G123200,TraesCS6D01G088200,syntenic,TRUE
TraesCS5A01G349400,TraesCS5B01G350800,TraesCS5D01G355800,syntenic,TRUE
TraesCS4A01G034100,TraesCS4B01G271500,TraesCS4D01G270600,syntenic,TRUE
TraesCS4A01G197800,TraesCS4B01G117700,TraesCS4D01G115400,syntenic,TRUE
TraesCS5A01G127800,TraesCS5B01G126800,TraesCS5D01G135400,syntenic,TRUE
TraesCS2A01G022100,TraesCS2B01G030700,TraesCS2D01G022900,syntenic,TRUE
TraesCS7A01G429300,TraesCS7B01G329400,TraesCS7D01G421400,syntenic,TRUE
TraesCS2A01G336900,TraesCS2B01G345000,TraesCS2D01G326000,non-syntenic,TRUE
TraesCS2A01G336800,TraesCS2B01G345100,TraesCS2D01G326100,syntenic,TRUE
TraesCS4A01G244600,TraesCS4B01G070400,TraesCS4D01G069200,syntenic,TRUE
TraesCS7A01G240900,TraesCS7B01G136500,TraesCS7D01G240000,syntenic,TRUE
TraesCS6A01G300000,TraesCS6B01G329600,TraesCS6D01G279800,syntenic,TRUE
TraesCS3A01G036200,TraesCS3B01G047800,TraesCS3D01G043800,syntenic,TRUE
TraesCS6A01G315100,TraesCS6B01G345500,TraesCS6D01G294400,syntenic,TRUE
TraesCS2A01G556500,TraesCS2B01G586800,TraesCS2D01G557700,syntenic,TRUE
TraesCS5A01G075600,TraesCS5B01G081900,TraesCS5D01G089200,syntenic,TRUE
TraesCS5A01G105000,TraesCS5B01G108400,TraesCS5D01G116000,syntenic,TRUE
TraesCS4A01G196500,TraesCS4B01G118800,TraesCS4D01G116500,syntenic,TRUE
TraesCS5A01G128000,TraesCS5B01G127000,TraesCS5D01G135600,syntenic,TRUE
TraesCS3A01G255400,TraesCS3B01G287300,TraesCS3D01G256200,syntenic,TRUE
TraesCS6A01G123300,TraesCS6B01G151500,TraesCS6D01G113500,syntenic,TRUE
TraesCS4A01G341500,TraesCS5B01G533100,TraesCS5D01G531400,syntenic,TRUE
TraesCS7A01G138200,TraesCS7B01G040300,TraesCS7D01G139800,syntenic,TRUE
TraesCS6A01G092200,TraesCS6B01G120700,TraesCS6D01G081100,syntenic,TRUE
TraesCS1A01G084900,TraesCS1B01G102100,TraesCS1D01G086300,syntenic,TRUE
TraesCS1A01G334300,TraesCS1B01G347500,TraesCS1D01G336800,syntenic,FALSE
TraesCS4A01G111200,TraesCS4B01G192700,TraesCS4D01G193900,syntenic,TRUE
TraesCS6A01G234800,TraesCS6B01G263500,TraesCS6D01G217400,syntenic,TRUE
TraesCS2A01G156300,TraesCS2B01G181800,TraesCS2D01G162200,syntenic,TRUE
TraesCS6A01G371400,TraesCS6B01G408400,TraesCS6D01G355300,syntenic,TRUE
TraesCS6A01G371500,TraesCS6B01G408500,TraesCS6D01G355400,syntenic,FALSE
TraesCS2A01G191900,TraesCS2B01G214900,TraesCS2D01G195600,syntenic,TRUE
TraesCS6A01G277000,TraesCS6B01G304700,TraesCS6D01G257500,syntenic,TRUE
TraesCS7A01G228600,TraesCS7B01G194900,TraesCS7D01G229700,syntenic,TRUE
TraesCS5A01G239000,TraesCS5B01G237600,TraesCS5D01G246100,syntenic,TRUE
TraesCS5A01G239100,TraesCS5B01G237700,TraesCS5D01G246200,syntenic,TRUE
TraesCS2A01G376000,TraesCS2B01G392900,TraesCS2D01G372200,syntenic,TRUE
TraesCS2A01G359500,TraesCS2B01G378800,TraesCS2D01G358400,syntenic,TRUE
TraesCS2A01G359300,TraesCS2B01G378600,TraesCS2D01G358200,syntenic,TRUE
TraesCS1A01G284700,TraesCS1B01G294000,TraesCS1D01G283700,syntenic,FALSE
TraesCS1A01G117600,TraesCS1B01G137400,TraesCS1D01G118700,syntenic,TRUE
TraesCS4A01G229100,TraesCS4B01G087300,TraesCS4D01G084600,syntenic,TRUE
TraesCS6A01G336000,TraesCS6B01G366800,TraesCS6D01G315900,syntenic,TRUE
TraesCS1A01G366800,TraesCS1B01G384600,TraesCS1D01G372300,syntenic,TRUE
TraesCS3A01G527200,TraesCS3B01G596000,TraesCS3D01G532700,syntenic,TRUE
TraesCS1A01G375100,TraesCS1B01G395300,TraesCS1D01G382300,syntenic,TRUE
TraesCS7A01G299400,TraesCS7B01G188000,TraesCS7D01G295400,syntenic,TRUE
TraesCS2A01G174300,TraesCS2B01G200800,TraesCS2D01G181400,syntenic,TRUE
TraesCS3A01G051800,TraesCS3B01G060500,TraesCS3D01G050900,syntenic,TRUE
TraesCS6A01G123400,TraesCS6B01G151600,TraesCS6D01G113600,syntenic,TRUE
TraesCS4A01G173500,TraesCS4B01G143600,TraesCS4D01G142100,syntenic,TRUE
TraesCS5A01G281200,TraesCS5B01G280200,TraesCS5D01G288100,syntenic,TRUE
